id,model,condition,pass_at_1,pass_at_5,mean_ext_bleu,max_ext_bleu
HFT-0000,llama3-70b,zero_shot,0.4,0.9762,0.1473,0.1945
HFT-0001,llama3-70b,zero_shot,0.7,1.0,0.1577,0.2099
HFT-0002,llama3-70b,zero_shot,0.0,0.0,0.1068,0.14
HFT-0003,llama3-70b,zero_shot,0.1,0.5,0.0996,0.1596
HFT-0004,llama3-70b,zero_shot,0.0,0.0,0.1236,0.132
HFT-0005,llama3-70b,zero_shot,0.9,1.0,0.1661,0.1866
HFT-0006,llama3-70b,zero_shot,0.3,0.9167,0.1183,0.1752
HFT-0007,llama3-70b,zero_shot,0.0,0.0,0.1083,0.14
HFT-0008,llama3-70b,zero_shot,0.2,0.7778,0.1171,0.1544
HFT-0009,llama3-70b,zero_shot,0.0,0.0,0.0912,0.14
HFT-0010,llama3-70b,zero_shot,0.0,0.0,0.1148,0.14
HFT-0011,llama3-70b,zero_shot,0.0,0.0,0.1145,0.14
HFT-0012,llama3-70b,zero_shot,0.0,0.0,0.07,0.14
HFT-0013,llama3-70b,zero_shot,0.0,0.0,0.1144,0.14
HFT-0014,llama3-70b,zero_shot,0.0,0.0,0.1052,0.14
HFT-0015,llama3-70b,zero_shot,0.0,0.0,0.1192,0.14
HFT-0016,llama3-70b,zero_shot,0.0,0.0,0.1027,0.1473
HFT-0017,llama3-70b,zero_shot,0.0,0.0,0.1328,0.1488
HFT-0018,llama3-70b,zero_shot,0.6,1.0,0.1497,0.172
HFT-0019,llama3-70b,zero_shot,0.4,0.9762,0.153,0.1726
HFT-0020,llama3-70b,zero_shot,0.7,1.0,0.1665,0.1999
HFT-0021,llama3-70b,zero_shot,0.0,0.0,0.108,0.14
HFT-0022,llama3-70b,zero_shot,0.0,0.0,0.0398,0.092
HFT-0023,llama3-70b,zero_shot,0.2,0.7778,0.1191,0.159
HFT-0024,llama3-70b,zero_shot,0.0,0.0,0.0664,0.1285
HFT-0025,llama3-70b,zero_shot,0.0,0.0,0.1284,0.14
HFT-0026,llama3-70b,zero_shot,0.0,0.0,0.108,0.14
HFT-0027,llama3-70b,zero_shot,0.0,0.0,0.0945,0.1358
HFT-0028,llama3-70b,zero_shot,0.3,0.9167,0.1277,0.154
HFT-0029,llama3-70b,zero_shot,0.5,0.996,0.1432,0.1692
HFT-0030,llama3-70b,zero_shot,0.0,0.0,0.1248,0.14
HFT-0031,llama3-70b,zero_shot,0.2,0.7778,0.1354,0.1652
HFT-0032,llama3-70b,zero_shot,0.2,0.7778,0.1309,0.1564
HFT-0033,llama3-70b,zero_shot,0.0,0.0,0.0959,0.14
