id,model,condition,pass_at_1,pass_at_5,mean_ext_bleu,max_ext_bleu
HFT-0000,llama3-70b,zero_shot,0.7,1.0,0.1612,0.1809
HFT-0001,llama3-70b,zero_shot,0.5,0.996,0.1474,0.1842
HFT-0002,llama3-70b,zero_shot,0.0,0.0,0.0884,0.14
HFT-0003,llama3-70b,zero_shot,0.2,0.7778,0.0765,0.1716
HFT-0004,llama3-70b,zero_shot,0.0,0.0,0.112,0.14
HFT-0000,mixtral-8x7b,zero_shot,0.4,0.9762,0.1397,0.1758
HFT-0001,mixtral-8x7b,zero_shot,0.8,1.0,0.1812,0.2085
HFT-0002,mixtral-8x7b,zero_shot,0.0,0.0,0.0649,0.14
HFT-0003,mixtral-8x7b,zero_shot,0.8,1.0,0.1661,0.1974
HFT-0004,mixtral-8x7b,zero_shot,0.0,0.0,0.1376,0.14
HFT-0000,llama3-70b,agentic_react,0.6667,0.0,0.1623,0.177
HFT-0001,llama3-70b,agentic_react,1.0,1.0,0.1781,0.194
HFT-0002,llama3-70b,agentic_react,0.0,0.0,0.14,0.14
HFT-0003,llama3-70b,agentic_react,1.0,1.0,0.1867,0.1904
HFT-0004,llama3-70b,agentic_react,0.0,0.0,0.14,0.14
HFT-0000,mixtral-8x7b,agentic_react,1.0,1.0,0.1822,0.1932
HFT-0001,mixtral-8x7b,agentic_react,1.0,1.0,0.1986,0.2124
HFT-0002,mixtral-8x7b,agentic_react,0.3333,0.0,0.1442,0.1526
HFT-0003,mixtral-8x7b,agentic_react,1.0,1.0,0.1767,0.1984
HFT-0004,mixtral-8x7b,agentic_react,0.0,0.0,0.14,0.14
